time,Alt,Mach,heat_load,Wgt_On_Whl,Aircraft_state
790.0,10000.0,1.2,4000.0,0.0,4.0
792.0,10000.0,1.2,4000.0,0.0,4.0
794.0,10000.0,1.2,4000.0,0.0,4.0
796.0,10000.0,1.2,4000.0,0.0,4.0
798.0,10000.0,1.2,4000.0,0.0,4.0
800.0,10000.0,1.2,4000.0,0.0,4.0
802.0,10000.0,1.2,4000.0,0.0,4.0
804.0,10000.0,1.2,4000.0,0.0,4.0
806.0,10000.0,1.2,4000.0,0.0,4.0
808.0,10000.0,1.2,4000.0,0.0,4.0
810.0,10000.0,1.2,4000.0,0.0,4.0
812.0,10000.0,1.2,4000.0,0.0,4.0
814.0,10000.0,1.2,4000.0,0.0,4.0
816.0,10000.0,1.2,4000.0,0.0,4.0
818.0,10000.0,1.2,4000.0,0.0,4.0
820.0,10000.0,1.2,4000.0,0.0,4.0
822.0,10000.0,1.2,4000.0,0.0,4.0
824.0,10000.0,1.2,4000.0,0.0,4.0
826.0,10000.0,1.2,4000.0,0.0,4.0
828.0,10000.0,1.2,4000.0,0.0,4.0
830.0,10000.0,1.2,4000.0,0.0,4.0
832.0,10000.0,1.2,4000.0,0.0,4.0
834.0,10000.0,1.2,4000.0,0.0,4.0
836.0,10000.0,1.2,4000.0,0.0,4.0
838.0,10000.0,1.2,4000.0,0.0,4.0
840.0,10000.0,1.2,4000.0,0.0,4.0
842.0,10000.0,1.2,4000.0,0.0,4.0
844.0,10000.0,1.2,4000.0,0.0,4.0
846.0,10000.0,1.2,4000.0,0.0,4.0
848.0,10000.0,1.2,4000.0,0.0,4.0
850.0,10000.0,1.2,4000.0,0.0,4.0
852.0,10000.0,1.2,4000.0,0.0,4.0
854.0,10000.0,1.2,4000.0,0.0,4.0
856.0,10000.0,1.2,4000.0,0.0,4.0
858.0,10000.0,1.2,4000.0,0.0,4.0
860.0,10000.0,1.2,4000.0,0.0,4.0
862.0,10000.0,1.2,4000.0,0.0,4.0
864.0,10000.0,1.2,4000.0,0.0,4.0
866.0,10000.0,1.2,4000.0,0.0,4.0
868.0,10000.0,1.2,4000.0,0.0,4.0
870.0,10000.0,1.2,4000.0,0.0,4.0
872.0,10000.0,1.2,4000.0,0.0,4.0
874.0,10000.0,1.2,4000.0,0.0,4.0
876.0,10000.0,1.2,4000.0,0.0,4.0
878.0,10000.0,1.2,4000.0,0.0,4.0
880.0,10000.0,1.2,4000.0,0.0,4.0
882.0,10000.0,1.2,4000.0,0.0,4.0
884.0,10000.0,1.2,4000.0,0.0,4.0
886.0,10000.0,1.2,4000.0,0.0,4.0
888.0,10000.0,1.2,4000.0,0.0,4.0
890.0,10000.0,1.2,4000.0,0.0,4.0
892.0,10000.0,1.2,4000.0,0.0,4.0
894.0,10000.0,1.2,4000.0,0.0,4.0
896.0,10000.0,1.2,4000.0,0.0,4.0
898.0,10000.0,1.2,4000.0,0.0,4.0
900.0,10000.0,1.2,4000.0,0.0,4.0
902.0,10000.0,1.2,4000.0,0.0,4.0
